id,rolling_speed,elevation_speed,elevation_jerk,elevation,roll,elevation_acceleration,controller_input
101,0.0035,-4.3,0.0,-70,-0.037000000000000005,0.2,-30.0
102,-0.0067,-5.4,0.0,-30,0.015,0.1,-10.0
103,-0.0005,-2.6,0.0,-10,0.001,-0.1,-10.0
104,-0.0003,1.6,-0.01,0,0.006,0.3,30.0
105,-0.0039,-5.5,0.0,30,0.006,-0.4,-90.00000000000001
106,0.0063,-8.0,0.02,50,0.038,-0.4,-69.99999999999999
107,-0.0073,-0.9,0.0,10,0.005,0.0,-10.0
108,-0.0077,-7.6,-0.02,0,0.022,0.1,-10.0
109,-0.0005,5.1,0.0,-10,-0.01,0.0,40.0
110,0.0016,-4.7,0.0,40,0.024,-0.3,-50.0
111,0.0026,3.2,0.0,-10,-0.015,0.2,10.0
112,-0.0091,0.1,0.01,-10,-0.009000000000000001,0.0,-10.0
113,-0.0046,-4.3,0.0,-30,0.008,0.1,10.0
114,0.0016,-9.1,0.0,-40,-0.006,0.3,-30.0
115,0.0014,-4.1,0.0,0,0.006,0.0,-10.0
116,0.0072,-4.5,0.0,30,0.013,-0.2,-30.0
117,0.0071,-3.6,0.0,0,-0.001,-0.2,-30.0
118,-0.0058,8.9,0.0,-20,0.02,0.2,10.0
119,-0.0008,2.4,0.01,10,-0.006,0.1,10.0
120,0.0018,7.3,0.01,-10,-0.05,0.1,20.0
121,-0.0048,-3.6,0.0,10,-0.006,-0.5,-40.0
122,0.0033,-8.6,-0.02,-40,0.003,0.1,-30.0
123,-0.0079,-5.9,0.0,-10,0.006,0.1,-10.0
124,0.0015,-4.9,0.0,-30,0.014,-0.3,-10.0
125,0.002,7.2,0.0,0,0.002,0.0,10.0
126,-0.0037,5.0,0.01,20,0.006,-0.2,10.0
127,0.0054,-2.9,0.0,-20,0.023,0.0,-10.0
128,-0.0056,-1.7,-0.01,-10,0.022,0.2,-10.0
129,0.0058,-1.2,0.0,-10,0.012,0.0,-10.0
130,-0.0061,-6.1,-0.01,0,0.015,0.1,-10.0
131,0.0069,4.9,0.0,-20,-0.023,0.1,30.0
132,0.0075,-3.4,0.01,-20,0.03,-0.1,-30.0
133,0.0028,10.3,0.01,0,-0.022,-0.2,20.0
134,0.006,-5.2,0.0,-40,-0.032,-0.1,-30.0
135,-0.0041,1.2,0.01,-20,-0.026,-0.3,-40.0
136,-0.0082,-4.4,0.0,-30,-0.02,0.0,10.0
137,-0.0088,-8.5,0.0,-30,0.002,0.1,-30.0
138,-0.0021,-6.4,0.0,10,0.022,-0.2,-40.0
139,-0.0032,1.7,0.0,-10,-0.001,0.2,10.0
140,0.0046,8.3,0.0,10,-0.003,-0.1,20.0
141,0.0083,3.6,0.01,20,0.014,-0.2,10.0
142,0.0009,-8.7,0.0,-30,0.004,-0.1,-20.0
143,-0.0001,-6.1,0.0,30,-0.014,0.1,-10.0
144,0.0006,-7.5,0.0,50,0.008,-0.3,-20.0
145,-0.0104,-4.5,0.0,-20,0.012,0.1,-10.0
146,0.0034,6.0,0.01,10,0.0,0.1,20.0
147,0.0042,11.6,0.0,10,0.006,0.0,30.0
148,-0.0025,4.2,0.0,-10,0.013,0.0,10.0
149,-0.0075,-1.8,0.0,-20,-0.031,-0.1,10.0
150,-0.0006,-2.8,0.0,-40,0.017,0.0,-20.0
151,0.0099,5.3,0.0,-10,-0.005,0.0,10.0
152,-0.0039,3.2,0.0,-20,0.006999999999999999,0.1,10.0
153,-0.0068,0.8,0.0,30,-0.002,-0.4,-10.0
154,-0.0059,1.7,0.0,-10,-0.002,0.1,20.0
155,0.0058,4.7,0.01,-50,0.01,0.0,-10.0
156,0.0042,-6.1,0.0,30,0.005,-0.2,-30.0
157,-0.0017,-9.1,-0.01,-60,-0.011,0.3,-10.0
158,0.0006,-2.6,0.0,-60,0.01,0.1,30.0
159,0.0016,8.4,0.02,20,-0.015,-0.2,10.0
160,0.0013,9.4,0.0,20,-0.032,0.0,50.0
161,0.0054,1.1,0.0,0,0.012,-0.1,20.0
162,0.001,2.3,0.0,-10,0.006999999999999999,0.1,10.0
163,-0.0017,4.6,0.0,-10,-0.022,0.2,10.0
164,-0.0095,0.6,0.0,-20,0.006,-0.1,-10.0
165,-0.0068,3.8,0.0,-30,0.006,0.1,20.0
166,-0.0049,-2.9,0.0,-20,0.008,0.0,-20.0
167,0.0029,4.0,0.0,30,-0.008,0.1,10.0
168,-0.0008,4.9,0.01,-30,0.006999999999999999,0.3,50.0
169,-0.005,4.9,0.0,-40,0.022,0.1,10.0
170,-0.0043,5.5,0.0,-20,-0.003,0.1,30.0
171,0.0068,-0.1,0.0,70,-0.001,-0.1,10.0
172,0.0048,6.0,0.0,-40,-0.01,0.4,40.0
173,-0.0059,1.1,0.0,-20,0.004,0.1,20.0
174,0.0006,-4.7,0.0,10,0.008,-0.2,-30.0
175,0.0037,-9.8,-0.02,0,0.01,-0.1,-10.0
176,0.0088,4.6,0.01,-40,-0.002,0.1,10.0
177,-0.0095,-5.4,0.0,10,0.004,-0.2,-30.0
178,-0.0028,-3.8,-0.01,20,-0.006999999999999999,0.1,-10.0
179,0.0032,-2.9,0.0,-50,0.011,0.1,10.0
180,0.0051,-4.4,0.0,10,0.012,0.0,10.0
181,-0.0023,-5.3,-0.01,-10,0.019,0.0,-10.0
182,-0.0063,3.6,0.0,10,0.022,-0.1,10.0
183,0.0031,-0.8,0.0,-20,-0.021,0.1,20.0
184,-0.0017,-5.4,0.0,-30,0.006,0.0,-20.0
185,-0.0088,5.4,0.0,-50,-0.012,-0.1,10.0
186,0.0001,-3.2,0.0,20,0.01,-0.2,-30.0
187,0.0053,11.9,0.0,30,-0.029,-0.1,30.0
188,-0.0058,-7.1,0.0,-30,0.04,-0.2,-30.0
189,-0.0012,3.9,0.0,-30,-0.011,0.3,10.0
190,0.0032,-0.4,0.0,10,-0.006999999999999999,0.1,20.0
191,0.0047,-3.6,0.0,20,0.015,0.0,-10.0
192,-0.0007,5.6,0.0,-10,-0.002,0.1,10.0
193,-0.0068,-4.5,0.0,0,-0.02,0.0,-20.0
194,0.0069,-6.3,-0.01,-10,-0.004,-0.2,-50.0
195,-0.0028,-8.9,0.01,-30,0.005,0.1,-30.0
196,-0.0001,-6.4,0.0,10,0.006,-0.1,-10.0
197,-0.0073,-4.9,0.0,-40,0.01,0.0,-10.0
198,0.0003,-5.4,0.01,-50,0.02,0.1,-50.0
199,0.0011,3.1,0.0,-20,0.003,0.2,50.0
200,0.0013,-3.8,0.0,-20,0.022,-0.2,-30.0
201,-0.0025,-11.1,0.0,30,0.021,-0.2,-10.0
202,-0.0004,3.0,0.0,-20,-0.021,0.2,50.0
203,0.0083,-2.8,0.0,-30,-0.016,0.1,10.0
204,-0.0059,-4.5,0.0,10,0.014,-0.2,-30.0
205,-0.0065,0.2,0.0,-30,0.03,-0.2,-10.0
206,-0.0006,-4.0,0.0,-30,0.031,0.0,-10.0
207,0.001,4.5,0.0,30,-0.003,0.0,20.0
208,-0.0049,2.1,0.0,-40,-0.009000000000000001,0.3,10.0
209,0.0026,-1.4,-0.01,30,-0.025,-0.2,-10.0
210,0.0051,3.2,0.0,-10,-0.008,-0.1,30.0
211,-0.0001,3.0,0.0,-10,-0.025,0.2,60.0
212,-0.0074,-5.9,0.01,-50,-0.008,0.2,-10.0
213,-0.0036,-1.2,0.0,10,0.013,-0.5,-40.0
214,0.0052,0.8,0.0,-20,-0.005,0.2,10.0
215,-0.003,12.6,0.0,-10,-0.016,0.1,30.0
216,-0.0034,2.3,0.0,-10,-0.019,0.2,20.0
217,-0.0017,-5.1,0.0,-20,0.019,0.0,-20.0
218,-0.005,-2.8,0.0,20,0.003,-0.2,-10.0
219,0.0123,13.5,0.0,0,-0.022,-0.2,10.0
220,0.0058,-2.3,0.0,-70,0.024,-0.1,-40.0
221,0.0036,7.0,0.01,-20,0.01,-0.1,10.0
222,-0.002,8.8,0.0,-30,0.013,0.5,50.0
223,-0.0017,-1.8,0.0,20,0.017,-0.3,-50.0
224,0.0063,-0.7,0.0,-30,0.015,0.0,-10.0
225,-0.0028,-4.4,0.0,-30,-0.011,-0.2,-20.0
226,0.0021,0.9,0.0,-10,0.039,0.2,30.0
227,-0.0021,5.7,0.0,0,-0.002,0.0,10.0
228,0.0079,9.2,0.01,-20,-0.02,0.2,10.0
229,-0.0003,5.8,0.0,-40,-0.001,0.1,10.0
230,-0.0035,-3.6,0.0,0,-0.011,-0.1,-20.0
231,-0.0001,3.2,0.0,-10,-0.004,0.1,40.0
232,-0.0088,-3.5,0.0,0,-0.034,-0.1,-20.0
233,0.0017,5.9,0.0,10,-0.017,0.0,20.0
234,0.0027,-1.6,0.0,0,-0.013,-0.2,-40.0
235,0.0024,0.4,0.0,-40,0.001,0.3,10.0
236,0.0013,2.1,0.0,-10,-0.015,0.1,-10.0
237,0.0032,-5.9,0.0,-10,0.02,-0.2,-20.0
238,0.0009,-8.3,-0.01,-60,-0.006999999999999999,0.2,-20.0
239,0.0006,1.2,0.0,0,-0.002,0.2,20.0
240,-0.001,-5.5,0.0,-20,0.0,0.0,-10.0
241,-0.0009,-4.1,0.0,50,-0.006999999999999999,-0.2,-20.0
242,0.0049,-3.2,-0.01,-40,0.018000000000000002,-0.1,-30.0
243,0.0012,5.5,0.0,-40,0.003,0.2,10.0
244,0.0014,-4.0,0.0,-20,0.002,-0.1,-20.0
245,0.0027,5.6,0.0,20,0.008,-0.1,10.0
246,-0.0161,-1.0,0.0,-70,0.006999999999999999,0.1,10.0
247,0.0035,2.0,0.0,-20,0.011,0.1,20.0
248,0.0075,2.7,0.0,-30,0.012,0.1,10.0
249,-0.0017,-3.6,0.01,0,-0.011,-0.2,-10.0
250,0.0022,-0.7,-0.01,20,-0.028,0.4,40.0
251,0.0017,4.9,0.0,-60,0.002,0.1,30.0
252,0.0089,-0.1,-0.01,-30,-0.003,0.3,10.0
253,0.004,-4.2,0.0,20,-0.02,0.1,-10.0
254,-0.0092,-3.8,0.01,-10,0.004,0.0,10.0
255,0.0048,-6.2,0.0,-30,0.019,0.1,10.0
256,0.0043,-4.6,0.0,-10,0.03,-0.5,-40.0
257,0.0051,-1.7,0.0,-10,0.014,0.0,-10.0
258,-0.002,3.9,0.0,-20,-0.006,0.1,10.0
259,-0.0097,1.0,0.01,-70,-0.006,0.3,10.0
260,-0.0084,0.9,0.01,-40,-0.016,0.2,-20.0
261,0.0051,-3.7,0.0,10,0.015,-0.2,-20.0
262,-0.0059,1.9,0.0,-40,0.006,0.2,20.0
263,-0.0074,5.1,0.0,20,0.004,0.0,20.0
264,0.0086,2.8,0.01,-30,-0.008,0.0,-10.0
265,-0.0026,-2.7,0.0,-10,0.027000000000000003,-0.1,-10.0
266,0.0006,4.1,0.0,0,0.001,0.1,40.0
267,0.0004,-3.5,0.0,20,-0.002,-0.1,-10.0
268,-0.0045,2.2,0.0,0,0.005,-0.2,-20.0
269,-0.0044,6.5,0.0,40,0.032,-0.2,20.0
270,-0.0088,-7.0,0.0,0,0.004,0.0,-10.0
271,0.0084,5.9,0.0,-30,0.008,0.3,40.0
272,0.0058,-5.5,0.0,-10,0.008,-0.2,-50.0
273,0.0047,-3.7,0.0,10,-0.031,-0.2,-30.0
274,0.0063,-0.3,-0.01,-10,0.026,-0.4,10.0
275,0.0012,3.8,0.0,-40,0.0,0.1,10.0
276,-0.0011,-1.4,-0.01,20,0.027000000000000003,-0.2,-30.0
277,0.0023,-3.9,-0.02,40,0.009000000000000001,-0.5,-80.0
278,-0.0063,3.7,0.01,-10,0.006,-0.2,10.0
279,0.0011,1.9,0.0,-20,-0.019,0.2,40.0
280,-0.0008,-1.2,0.0,-40,0.023,-0.1,-30.0
281,-0.0004,-10.0,0.0,60,0.033,-0.2,-50.0
282,0.0012,-1.1,0.0,-30,0.026,-0.2,-40.0
283,-0.0026,-6.4,-0.02,-20,0.002,0.0,-30.0
284,-0.0053,-2.8,-0.02,20,-0.019,-0.2,-30.0
285,-0.0037,6.5,0.01,-80,0.001,0.1,10.0
286,0.0086,-3.8,0.0,40,0.013,-0.4,10.0
287,-0.0033,9.5,0.0,0,-0.005,0.0,10.0
288,-0.0035,5.6,0.0,-50,0.005,0.1,-10.0
289,-0.004,1.8,0.0,-50,0.003,0.2,10.0
290,0.0022,-3.2,0.0,10,-0.019,-0.3,-30.0
291,-0.0006,-0.4,0.0,50,-0.001,0.2,10.0
292,-0.0091,-3.3,0.0,20,0.005,-0.3,-30.0
293,-0.0053,0.9,0.0,-30,-0.009000000000000001,0.1,40.0
294,0.0055,2.7,0.0,10,-0.004,0.2,40.0
295,0.0005,-2.5,0.0,0,0.021,-0.3,-20.0
296,0.0046,-3.2,0.0,-30,0.016,0.0,-30.0
297,-0.0039,-3.9,0.0,-40,-0.005,-0.1,-20.0
298,-0.0022,9.6,0.0,0,-0.005,0.0,40.0
299,-0.0021,2.9,0.0,0,-0.02,0.2,10.0
300,-0.0001,8.1,0.0,-10,0.004,0.3,50.0
301,-0.0028,2.8,0.0,-30,0.005,0.3,10.0
302,0.0027,-6.8,0.0,0,0.008,-0.2,-20.0
303,0.0072,5.3,0.0,50,-0.011,0.1,10.0
304,0.009000000000000001,-2.3,-0.01,-20,0.025,-0.5,-50.0
305,-0.0074,3.0,0.01,0,-0.021,0.2,30.0
306,0.0063,-2.3,0.0,10,-0.022,0.1,-20.0
307,-0.0036,-4.7,0.0,-40,0.008,0.1,-20.0
308,0.0001,0.1,0.0,-30,-0.002,0.3,10.0
309,-0.009000000000000001,-3.9,0.0,-10,0.009000000000000001,0.0,-10.0
310,0.0052,7.7,0.0,-20,-0.006,0.0,20.0
311,-0.0073,1.6,0.0,20,0.018000000000000002,-0.2,-10.0
312,-0.006,-2.7,-0.01,10,0.004,0.0,-10.0
313,-0.0001,-4.1,0.0,-20,-0.001,0.0,-10.0
314,0.0004,-4.5,0.0,-10,-0.002,-0.2,-20.0
315,0.0102,3.0,0.0,-20,-0.004,0.0,10.0
316,0.0062,2.0,0.0,-40,-0.012,0.3,10.0
317,0.0063,3.8,-0.01,30,-0.016,0.0,10.0
318,0.0067,1.4,0.0,-20,-0.017,0.0,-20.0
319,-0.0091,4.5,0.02,10,-0.018000000000000002,0.2,-10.0
320,-0.0053,2.2,0.0,-40,0.021,0.1,10.0
321,0.0097,3.5,0.0,-30,-0.008,0.1,20.0
322,0.0035,0.8,0.0,-20,-0.004,0.3,10.0
323,0.0045,3.9,0.0,-10,-0.005,0.0,10.0
324,-0.0021,-7.7,-0.02,0,0.027000000000000003,0.0,-20.0
325,-0.0024,-9.9,0.0,10,-0.009000000000000001,0.0,-30.0
326,-0.0045,0.6,0.0,10,-0.011,0.2,20.0
327,0.0028,-3.4,0.0,-60,-0.004,-0.1,-10.0
328,0.0077,-3.7,0.0,10,0.011,-0.1,-20.0
329,-0.0029,1.4,0.0,-10,-0.004,0.2,20.0
330,-0.0027,1.8,0.0,10,-0.024,0.1,20.0
331,-0.0014,3.8,0.0,-10,-0.012,0.1,10.0
332,0.0069,-4.3,0.0,-70,0.011,0.0,10.0
333,-0.0027,10.4,0.0,0,0.009000000000000001,-0.1,10.0
334,0.001,-5.6,0.0,-10,0.008,0.0,-10.0
335,0.0092,4.6,0.0,0,-0.005,0.0,10.0
336,0.0005,-5.8,0.0,-20,0.031,-0.4,-50.0
337,0.0061,-4.1,0.0,40,-0.005,-0.1,-10.0
338,0.0067,1.7,0.0,10,-0.023,0.0,10.0
339,0.0066,-5.9,0.01,-50,0.008,-0.2,-30.0
340,0.0006,2.4,0.0,0,-0.017,0.3,20.0
341,0.0102,-3.9,0.0,-10,-0.015,0.1,-20.0
342,0.0041,4.6,0.0,0,-0.014,0.0,10.0
343,0.0046,-12.8,0.02,30,0.024,-0.2,-20.0
344,-0.0105,-5.0,0.0,0,0.002,-0.2,-10.0
345,0.0045,-1.5,0.0,10,-0.011,0.2,10.0
346,-0.0096,-2.1,0.01,-10,0.006999999999999999,0.1,10.0
347,-0.0015,4.9,0.0,-40,-0.032,0.3,40.0
348,-0.0086,1.9,0.0,-50,-0.017,0.2,10.0
349,0.0042,-1.6,0.0,0,0.033,-0.2,-30.0
350,-0.0066,6.5,0.02,-10,0.014,0.0,30.0
351,-0.0019,7.2,0.0,-30,-0.002,0.3,10.0
352,-0.0041,-7.3,0.0,-50,0.01,0.0,-30.0
353,-0.0013,6.2,0.0,0,0.021,0.1,20.0
354,0.0038,-3.1,0.01,-10,-0.008,0.1,10.0
355,-0.0047,-2.7,0.0,-50,0.026,0.0,-10.0
356,-0.0027,-5.9,0.0,10,0.015,-0.2,-40.0
357,0.0039,2.2,0.0,-20,0.01,0.0,10.0
358,0.0058,7.2,0.0,0,-0.005,0.0,20.0
359,0.0043,-2.3,0.0,-30,-0.016,0.1,10.0
360,0.0068,-3.8,-0.01,-70,-0.006999999999999999,0.3,30.0
361,0.0044,3.5,0.0,-60,-0.006,0.2,10.0
362,-0.0029,9.3,0.0,-10,-0.006999999999999999,0.1,20.0
363,-0.0007,1.5,0.0,-20,0.006999999999999999,0.2,20.0
364,-0.0068,1.8,0.0,-60,0.002,0.1,-10.0
365,0.002,2.7,0.0,-10,0.006999999999999999,0.1,20.0
366,0.0032,-3.5,0.0,-10,-0.006,0.0,-10.0
367,0.0082,-5.8,0.0,60,0.003,-0.4,-10.0
368,0.0014,-6.0,0.0,20,0.033,-0.3,-40.0
369,-0.0077,-5.7,-0.02,-20,-0.01,0.3,20.0
370,0.0102,-2.2,0.0,-50,0.015,0.0,10.0
371,0.0025,-2.7,0.0,-10,0.006,-0.1,-20.0
372,-0.002,-2.4,0.0,-10,-0.009000000000000001,-0.1,-40.0
373,0.0022,-4.7,-0.01,30,0.02,0.2,40.0
374,0.0001,3.5,0.0,0,-0.004,0.2,30.0
375,0.0059,-1.4,0.0,-10,-0.003,0.1,10.0
376,-0.009000000000000001,0.0,0.0,-20,0.026,-0.1,-10.0
377,-0.0087,1.2,0.0,-20,0.003,0.2,10.0
378,-0.005,-0.4,-0.01,-30,0.025,0.1,-20.0
379,0.0119,7.8,0.0,20,0.016,-0.2,10.0
380,-0.006,8.9,0.01,-30,0.005,0.2,-10.0
381,0.0049,-2.6,0.0,-10,0.015,-0.3,-10.0
382,0.003,-1.0,-0.01,-20,0.014,0.2,10.0
383,0.0063,-3.1,0.0,-20,0.014,0.1,10.0
384,-0.0001,-4.8,0.0,0,0.032,0.0,-10.0
385,-0.0053,-1.6,0.0,0,0.005,0.0,-10.0
386,0.0053,-7.6,0.0,0,-0.006,-0.1,-30.0
387,-0.0043,1.9,0.0,10,0.004,0.0,10.0
388,-0.0099,2.8,0.0,-30,0.022,0.4,40.0
389,-0.013000000000000001,-3.8,-0.02,10,-0.018000000000000002,0.0,10.0
390,0.0043,1.1,0.0,0,-0.014,-0.4,-30.0
391,-0.0073,-0.4,0.0,-10,0.006,0.1,20.0
392,-0.0029,-3.2,0.0,30,0.014,-0.2,-30.0
393,0.0053,1.2,0.0,20,0.014,-0.1,10.0
394,-0.0003,4.1,0.0,20,0.011,0.0,20.0
395,-0.0079,-5.2,0.01,-10,-0.01,0.0,-30.0
396,-0.0044,3.0,0.0,-40,0.006,0.3,10.0
397,0.0,8.1,0.01,-20,-0.009000000000000001,0.0,10.0
398,0.0007,2.7,0.0,-50,-0.003,0.2,10.0
399,-0.0077,-0.2,0.0,50,0.005,-0.1,-20.0
400,-0.0013,7.6,0.0,60,0.023,0.1,20.0
401,-0.0008,4.7,0.0,-10,-0.001,0.1,30.0
402,0.0033,-5.8,0.0,0,0.004,-0.1,-10.0
403,0.0016,-2.7,0.0,-40,0.002,-0.1,-20.0
404,-0.0031,4.5,0.0,-50,0.005,0.2,20.0
405,0.0058,-1.2,0.0,-10,-0.006,-0.1,-20.0
406,0.0004,-11.4,0.0,-10,0.006,-0.2,-40.0
407,0.0019,-6.8,0.0,-40,-0.015,0.1,-20.0
408,-0.0078,-8.5,-0.01,-40,0.004,0.2,10.0
409,0.0012,-2.2,0.0,-30,0.009000000000000001,-0.1,-10.0
410,0.0058,4.2,0.0,0,-0.009000000000000001,0.2,10.0
411,0.0018,4.7,0.0,-10,-0.02,0.3,10.0
412,-0.0065,-1.9,0.01,-30,-0.006999999999999999,0.0,-30.0
413,-0.0025,-3.7,0.0,20,-0.006999999999999999,-0.1,-20.0
414,0.0044,-1.6,0.0,-20,0.01,0.1,30.0
415,0.0041,2.4,0.0,-20,0.013,0.0,10.0
416,0.0007,9.0,0.01,20,0.011,-0.1,10.0
417,-0.0059,5.9,0.0,-20,-0.016,0.2,30.0
418,0.0066,-5.3,0.01,-30,-0.04,0.1,20.0
419,-0.0009,5.3,0.01,-10,-0.022,0.1,30.0
420,-0.0039,-6.3,0.0,0,-0.006999999999999999,0.0,-10.0
421,0.0003,10.5,0.0,-50,0.011,0.3,40.0
422,0.0005,-8.0,0.0,-10,0.036000000000000004,-0.3,-40.0
423,-0.0035,-5.5,0.0,0,0.021,-0.2,-30.0
424,0.0057,-2.3,0.0,0,0.031,-0.2,-10.0
425,0.0004,-6.2,0.0,-20,0.027000000000000003,-0.1,-10.0
426,0.0021,-3.0,0.0,-20,-0.001,-0.1,-30.0
