id,Carbon,Nickel,Manganese,Sulfur,Chromium,Iron,Phosphorus,Silicon,Strength
91,389.9,189,0,145.9,22,944.7,755.8,3,40.6
92,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
93,337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
94,374,189.2,0,170.1,10.1,926.1,756.7,7,46.2
95,313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
96,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
97,425,106.3,0,151.4,18.6,936,803.7,7,46.8
98,375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
99,475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
100,469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
101,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
102,388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
103,531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
104,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
105,318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
106,401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
107,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
108,323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
109,379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
110,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
111,286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
112,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
113,439,177,0,186,11.1,884.9,707.9,7,56.1
114,389.9,189,0,145.9,22,944.7,755.8,7,59.09
115,362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
116,337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
117,374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
118,313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
119,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
120,425,106.3,0,151.4,18.6,936,803.7,28,61.8
121,375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
122,475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
123,469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
124,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
125,388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
126,531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
127,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
128,318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
129,401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
130,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
131,323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
132,379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
133,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
134,286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
135,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
136,439,177,0,186,11.1,884.9,707.9,28,66
137,389.9,189,0,145.9,22,944.7,755.8,28,74.5
138,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
139,337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
140,374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
141,313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
142,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
143,425,106.3,0,151.4,18.6,936,803.7,56,64.9
144,375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
145,475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
146,469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
147,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
148,388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
149,531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
150,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
151,318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
152,401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
153,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
154,323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
155,379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
156,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
157,286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
158,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
159,439,177,0,186,11.1,884.9,707.9,56,71.7
160,389.9,189,0,145.9,22,944.7,755.8,56,79.4
161,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
162,337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
163,374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
164,313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
165,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
166,425,106.3,0,151.4,18.6,936,803.7,91,66.7
167,375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
168,475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
169,469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
170,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
171,388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
172,531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
173,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
174,318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
175,401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
176,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
177,379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
178,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
179,286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
180,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
181,439,177,0,186,11.1,884.9,707.9,91,73.3
182,389.9,189,0,145.9,22,944.7,755.8,91,82.6
183,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
184,337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
185,222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
186,222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
187,222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
188,222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
189,222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
190,233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
191,233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
192,233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
193,233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
194,233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
195,194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
196,194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
197,194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
198,194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
199,194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
200,190.7,0,125.4,162.1,7.8,1090,804,3,15.04
201,190.7,0,125.4,162.1,7.8,1090,804,14,21.06
202,190.7,0,125.4,162.1,7.8,1090,804,28,26.4
203,190.7,0,125.4,162.1,7.8,1090,804,56,35.34
204,190.7,0,125.4,162.1,7.8,1090,804,100,40.57
205,212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
206,212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
207,167,75.4,167,164,7.9,1007.3,770.1,3,15.52
208,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
209,190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55
210,250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
211,213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
212,194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
213,251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
214,165,0,143.6,163.8,0,1005.6,900.9,14,16.88
215,165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
216,178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
217,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
218,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
219,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
220,167,75.4,167,164,7.9,1007.3,770.1,14,32.9
221,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
222,190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
223,250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
224,213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
225,194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
226,251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
227,165,0,143.6,163.8,0,1005.6,900.9,28,26.2
228,165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
229,178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
230,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
231,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
232,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
233,167,75.4,167,164,7.9,1007.3,770.1,28,41.41
234,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
235,190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
236,250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
237,213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64
238,194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
239,251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
240,165,0,143.6,163.8,0,1005.6,900.9,56,36.56
241,165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
242,178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
243,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
244,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
245,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
246,167,75.4,167,164,7.9,1007.3,770.1,56,53.46
247,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
248,190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
249,250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
250,213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
251,194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
252,251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
253,165,0,143.6,163.8,0,1005.6,900.9,100,37.96
254,165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
255,178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
256,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
257,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
258,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
259,167,75.4,167,164,7.9,1007.3,770.1,100,56.81
260,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
261,190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
262,250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
263,213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
264,194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
265,251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
266,446,24,79,162,11.6,967,712,28,57.03
267,446,24,79,162,11.6,967,712,28,44.42
268,446,24,79,162,11.6,967,712,28,51.02
269,446,24,79,162,10.3,967,712,28,53.39
270,446,24,79,162,11.6,967,712,3,35.36
271,446,24,79,162,11.6,967,712,3,25.02
272,446,24,79,162,11.6,967,712,3,23.35
273,446,24,79,162,11.6,967,712,7,52.01
274,446,24,79,162,11.6,967,712,7,38.02
275,446,24,79,162,11.6,967,712,7,39.3
276,446,24,79,162,11.6,967,712,56,61.07
277,446,24,79,162,11.6,967,712,56,56.14
278,446,24,79,162,11.6,967,712,56,55.25
279,446,24,79,162,10.3,967,712,56,54.77
280,387,20,94,157,14.3,938,845,28,50.24
281,387,20,94,157,13.9,938,845,28,46.68
282,387,20,94,157,11.6,938,845,28,46.68
283,387,20,94,157,14.3,938,845,3,22.75
284,387,20,94,157,13.9,938,845,3,25.51
285,387,20,94,157,11.6,938,845,3,34.77
286,387,20,94,157,14.3,938,845,7,36.84
287,387,20,94,157,13.9,938,845,7,45.9
288,387,20,94,157,11.6,938,845,7,41.67
289,387,20,94,157,14.3,938,845,56,56.34
290,387,20,94,157,13.9,938,845,56,47.97
291,387,20,94,157,11.6,938,845,56,61.46
292,355,19,97,145,13.1,967,871,28,44.03
293,355,19,97,145,12.3,967,871,28,55.45
294,491,26,123,210,3.9,882,699,28,55.55
295,491,26,123,201,3.9,822,699,28,57.92
296,491,26,123,210,3.9,882,699,3,25.61
297,491,26,123,210,3.9,882,699,7,33.49
298,491,26,123,210,3.9,882,699,56,59.59
299,491,26,123,201,3.9,822,699,3,29.55
300,491,26,123,201,3.9,822,699,7,37.92
301,491,26,123,201,3.9,822,699,56,61.86
302,424,22,132,178,8.5,822,750,28,62.05
303,424,22,132,178,8.5,882,750,3,32.01
304,424,22,132,168,8.9,822,750,28,72.1
305,424,22,132,178,8.5,822,750,7,39
306,424,22,132,178,8.5,822,750,56,65.7
307,424,22,132,168,8.9,822,750,3,32.11
308,424,22,132,168,8.9,822,750,7,40.29
309,424,22,132,168,8.9,822,750,56,74.36
310,202,11,141,206,1.7,942,801,28,21.97
311,202,11,141,206,1.7,942,801,3,9.85
312,202,11,141,206,1.7,942,801,7,15.07
313,202,11,141,206,1.7,942,801,56,23.25
314,284,15,141,179,5.5,842,801,28,43.73
315,284,15,141,179,5.5,842,801,3,13.4
316,284,15,141,179,5.5,842,801,7,24.13
317,284,15,141,179,5.5,842,801,56,44.52
318,359,19,141,154,10.9,942,801,28,62.94
319,359,19,141,154,10.9,942,801,28,59.49
320,359,19,141,154,10.9,942,801,3,25.12
321,359,19,141,154,10.9,942,801,3,23.64
322,359,19,141,154,10.9,942,801,7,35.75
323,359,19,141,154,10.9,942,801,7,38.61
324,359,19,141,154,10.9,942,801,56,68.75
325,359,19,141,154,10.9,942,801,56,66.78
326,436,0,0,218,0,838.4,719.7,28,23.85
327,289,0,0,192,0,913.2,895.3,90,32.07
328,289,0,0,192,0,913.2,895.3,3,11.65
329,393,0,0,192,0,940.6,785.6,3,19.2
330,393,0,0,192,0,940.6,785.6,90,48.85
331,393,0,0,192,0,940.6,785.6,28,39.6
332,480,0,0,192,0,936.2,712.2,28,43.94
333,480,0,0,192,0,936.2,712.2,7,34.57
334,480,0,0,192,0,936.2,712.2,90,54.32
335,480,0,0,192,0,936.2,712.2,3,24.4
336,333,0,0,192,0,931.2,842.6,3,15.62
337,255,0,0,192,0,889.8,945,90,21.86
338,255,0,0,192,0,889.8,945,7,10.22
339,289,0,0,192,0,913.2,895.3,7,14.6
340,255,0,0,192,0,889.8,945,28,18.75
341,333,0,0,192,0,931.2,842.6,28,31.97
342,333,0,0,192,0,931.2,842.6,7,23.4
343,289,0,0,192,0,913.2,895.3,28,25.57
344,333,0,0,192,0,931.2,842.6,90,41.68
345,393,0,0,192,0,940.6,785.6,7,27.74
346,255,0,0,192,0,889.8,945,3,8.2
347,158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
348,239.6,359.4,0,185.7,0,941.6,664.3,7,25.42
349,238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
350,181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
351,193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
352,255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
353,272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
354,239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
355,220.8,147.2,0,185.7,0,1055,744.3,28,25.75
356,397,0,0,185.7,0,1040.6,734.3,28,33.08
357,382.5,0,0,185.7,0,1047.8,739.3,7,24.07
358,210.7,316.1,0,185.7,0,977,689.3,7,21.82
359,158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
360,295.8,0,0,185.7,0,1091.4,769.3,7,14.84
361,255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05
362,203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
363,397,0,0,185.7,0,1040.6,734.3,7,25.45
364,381.4,0,0,185.7,0,1104.6,784.3,28,22.49
365,295.8,0,0,185.7,0,1091.4,769.3,28,25.22
366,228,342.1,0,185.7,0,955.8,674.3,28,39.7
367,220.8,147.2,0,185.7,0,1055,744.3,7,13.09
368,316.1,210.7,0,185.7,0,977,689.3,28,38.7
369,135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
370,238.1,0,0,185.7,0,1118.8,789.3,28,17.58
371,339.2,0,0,185.7,0,1069.2,754.3,7,21.18
372,135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
373,193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
374,203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63
375,290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
376,181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
377,170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
378,210.7,316.1,0,185.7,0,977,689.3,28,37.81
379,228,342.1,0,185.7,0,955.8,674.3,7,21.92
380,290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
381,381.4,0,0,185.7,0,1104.6,784.3,7,14.54
382,238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
383,186.2,124.1,0,185.7,0,1083.4,764.3,7,8
384,339.2,0,0,185.7,0,1069.2,754.3,28,31.9
385,238.1,0,0,185.7,0,1118.8,789.3,7,10.34
386,252.5,0,0,185.7,0,1111.6,784.3,28,19.77
387,382.5,0,0,185.7,0,1047.8,739.3,28,37.44
388,252.5,0,0,185.7,0,1111.6,784.3,7,11.48
389,316.1,210.7,0,185.7,0,977,689.3,7,24.44
390,186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
391,170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
392,272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
393,339,0,0,197,0,968,781,3,13.22
394,339,0,0,197,0,968,781,7,20.97
395,339,0,0,197,0,968,781,14,27.04
396,339,0,0,197,0,968,781,28,32.04
397,339,0,0,197,0,968,781,90,35.17
398,339,0,0,197,0,968,781,180,36.45
399,339,0,0,197,0,968,781,365,38.89
400,236,0,0,194,0,968,885,3,6.47
401,236,0,0,194,0,968,885,14,12.84
402,236,0,0,194,0,968,885,28,18.42
403,236,0,0,194,0,968,885,90,21.95
404,236,0,0,193,0,968,885,180,24.1
405,236,0,0,193,0,968,885,365,25.08
406,277,0,0,191,0,968,856,14,21.26
407,277,0,0,191,0,968,856,28,25.97
408,277,0,0,191,0,968,856,3,11.36
409,277,0,0,191,0,968,856,90,31.25
410,277,0,0,191,0,968,856,180,32.33
411,277,0,0,191,0,968,856,360,33.7
412,254,0,0,198,0,968,863,3,9.31
413,302,0,0,203,0,974,817,28,21.75
414,397,0,0,185,0,1040,734,28,39.09
415,480,0,0,192,0,936,721,3,24.39
416,522,0,0,146,0,896,896,7,50.51
417,522,0,0,146,0,896,896,28,74.99
418,273,105,82,210,9,904,680,28,37.17
419,162,190,148,179,19,838,741,28,33.76
420,154,144,112,220,10,923,658,28,16.5
421,147,115,89,202,9,860,829,28,19.99
422,152,178,139,168,18,944,695,28,36.35
423,310,143,111,168,22,914,651,28,33.69
424,144,0,175,158,18,943,844,28,15.42
425,304,140,0,214,6,895,722,28,33.42
426,374,0,0,190,7,1013,730,28,39.05
427,159,149,116,175,15,953,720,28,27.68
428,153,239,0,200,6,1002,684,28,26.86
429,310,143,0,168,10,914,804,28,45.3
430,305,0,100,196,10,959,705,28,30.12
431,151,0,184,167,12,991,772,28,15.57
432,142,167,130,174,11,883,785,28,44.61
433,298,137,107,201,6,878,655,28,53.52
434,321,164,0,190,5,870,774,28,57.21
435,366,187,0,191,7,824,757,28,65.91
436,280,129,100,172,9,825,805,28,52.82
437,252,97,76,194,8,835,821,28,33.4
438,165,0,150,182,12,1023,729,28,18.03
439,156,243,0,180,11,1022,698,28,37.36
440,160,188,146,203,11,829,710,28,32.84
441,298,0,107,186,6,879,815,28,42.64
442,318,0,126,210,6,861,737,28,40.06
443,287,121,94,188,9,904,696,28,41.94
444,326,166,0,174,9,882,790,28,61.23
445,356,0,142,193,11,801,778,28,40.87
446,132,207,161,179,5,867,736,28,33.3
447,322,149,0,186,8,951,709,28,52.42
448,164,0,200,181,13,849,846,28,15.09
449,314,0,113,170,10,925,783,28,38.46
450,321,0,128,182,11,870,780,28,37.26
451,140,164,128,237,6,869,656,28,35.23
452,288,121,0,177,7,908,829,28,42.13
453,298,0,107,210,11,880,744,28,31.87
454,265,111,86,195,6,833,790,28,41.54
455,160,250,0,168,12,1049,688,28,39.45
456,166,260,0,183,13,859,827,28,37.91
457,276,116,90,180,9,870,768,28,44.28
458,322,0,116,196,10,818,813,28,31.18
459,149,139,109,193,6,892,780,28,23.69
460,159,187,0,176,11,990,789,28,32.76
461,261,100,78,201,9,864,761,28,32.4
462,237,92,71,247,6,853,695,28,28.63
463,313,0,113,178,8,1002,689,28,36.8
464,155,183,0,193,9,1047,697,28,18.28
465,146,230,0,202,3,827,872,28,33.06
466,296,0,107,221,11,819,778,28,31.42
467,133,210,0,196,3,949,795,28,31.03
468,313,145,0,178,8,867,824,28,44.39
469,152,0,112,184,8,992,816,28,12.18
470,153,145,113,178,8,1002,689,28,25.56
471,140,133,103,200,7,916,753,28,36.44
472,149,236,0,176,13,847,893,28,32.96
473,300,0,120,212,10,878,728,28,23.84
474,153,145,113,178,8,867,824,28,26.23
475,148,0,137,158,16,1002,830,28,17.95
476,326,0,138,199,11,801,792,28,40.68
477,153,145,0,178,8,1000,822,28,19.01
478,262,111,86,195,5,895,733,28,33.72
479,158,0,195,220,11,898,713,28,8.54
480,151,0,185,167,16,1074,678,28,13.46
481,273,0,90,199,11,931,762,28,32.24
482,149,118,92,183,7,953,780,28,23.52
483,143,169,143,191,8,967,643,28,29.72
484,260,101,78,171,10,936,763,28,49.77
485,313,161,0,178,10,917,759,28,52.44
486,284,120,0,168,7,970,794,28,40.93
487,336,0,0,182,3,986,817,28,44.86
488,145,0,134,181,11,979,812,28,13.2
489,150,237,0,174,12,1069,675,28,37.43
490,144,170,133,192,8,814,805,28,29.87
491,331,170,0,195,8,811,802,28,56.61
492,155,0,143,193,9,1047,697,28,12.46
493,155,183,0,193,9,877,868,28,23.79
494,135,0,166,180,10,961,805,28,13.29
495,266,112,87,178,10,910,745,28,39.42
496,314,145,113,179,8,869,690,28,46.23
497,313,145,0,127,8,1000,822,28,44.52
